WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Development & feasibility,group,2026-08-02,2026-09-15,45,100,,,
1.1,  Site control & pre-feasibility,task,2026-08-02,2026-08-26,25,100,Development,,
1.2,  Solar resource & layout,task,2026-08-22,2026-09-15,25,100,Engineering,,
2,Interconnection & environmental,group,2026-09-11,2026-12-09,90,60,,,
2.1,  Interconnection application & study,task,2026-09-11,2026-11-24,75,70,Development,Solar resource & layout,
2.2,  Environmental assessment,task,2026-09-26,2026-11-14,50,60,Consultant,,
3,Interconnection agreement,milestone,2026-12-10,2026-12-10,0,0,,Interconnection application & study,
4,Design & permitting,group,2026-11-20,2027-01-18,60,30,,,
4.1,  Civil & electrical design,task,2026-11-20,2026-12-29,40,45,Engineering,,
4.2,  Local permits & approvals,task,2026-12-10,2027-01-18,40,20,Permitting,Environmental assessment,
5,Notice to proceed,milestone,2027-01-19,2027-01-19,0,0,,Local permits & approvals,
6,Procurement,group,2026-12-20,2027-03-04,75,20,,,
6.1,  Modules & inverters ordered,task,2026-12-20,2027-02-17,60,30,Procurement,,
6.2,  Transformer & HV gear (long lead),task,2026-12-20,2027-03-04,75,20,Procurement,,
7,Civil & mechanical,group,2027-01-21,2027-04-05,75,0,,,
7.1,  Mobilization & access roads,task,2027-01-21,2027-02-04,15,0,EPC,Notice to proceed,
7.2,  Grading & fencing,task,2027-02-03,2027-02-22,20,0,Civil,Mobilization & access roads,
7.3,  Pile driving & racking,task,2027-02-20,2027-03-21,30,0,Mechanical,Grading & fencing,
7.4,  Module install & DC wiring,task,2027-03-15,2027-04-05,22,0,Mechanical,Pile driving & racking,
8,Electrical & commissioning,group,2027-03-30,2027-05-13,45,0,,,
8.1,"  Inverters, combiners & substation",task,2027-03-30,2027-04-23,25,0,Electrical,Module install & DC wiring,
8.2,  Testing & utility witness test,task,2027-04-22,2027-05-05,14,0,Commissioning,"Inverters, combiners & substation",
9,Commercial operation,milestone,2027-05-14,2027-05-14,0,0,,Testing & utility witness test,